run,enemy,generation,max.fitness,mean.fitness,median.fitness,min.fitness,std.fitness,mutation_p_individual,mutation_p_genome,mutation_sigma,elites,phase
28/09/2024 09:46:10,4,20,88.821,32.951,30.549,3.435,15.972,0.5,0.5,0.35,5,-
28/09/2024 09:46:10,4,21,88.821,35.055,30.549,12.131,17.296,0.5,0.5,0.35,5,-
28/09/2024 09:46:10,4,22,88.821,34.211,30.54,2.804,19.007,0.5,0.5,0.35,5,-
28/09/2024 09:46:10,4,23,88.821,36.101,30.545,3.487,19.755,0.5,0.5,0.35,5,-
28/09/2024 09:46:10,4,24,89.361,37.5,30.586,3.487,20.163,0.5,0.5,0.35,5,-
28/09/2024 09:46:10,4,25,89.361,40.716,30.597,3.62,22.159,0.5,0.5,0.35,5,-
28/09/2024 09:46:10,4,26,89.361,39.608,30.551,2.781,24.956,0.5,0.5,0.35,5,-
28/09/2024 09:46:10,4,27,89.361,43.26,30.588,11.816,23.667,0.5,0.5,0.35,5,-
28/09/2024 09:46:10,4,28,89.361,42.733,30.58,2.81,24.584,0.5,0.5,0.35,5,-
28/09/2024 09:46:10,4,29,89.361,43.247,38.534,2.653,25.339,0.5,0.5,0.35,5,-
28/09/2024 09:46:10,4,30,89.361,41.648,30.53,11.816,24.734,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,30,30.545,-1.56,-5.231,-7.255,8.462,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,1,30.717,7.408,3.867,-6.096,10.845,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,2,48.18,16.309,21.467,-5.833,9.634,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,3,48.18,20.206,21.62,3.207,6.747,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,4,48.18,22.199,21.62,12.235,4.626,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,5,48.18,22.511,21.62,12.316,4.841,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,6,48.18,23.042,21.62,3.95,6.095,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,7,48.18,24.01,21.62,3.417,8.304,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,8,48.18,23.687,21.62,3.276,9.289,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,9,57.026,23.269,21.62,3.276,10.463,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,10,57.026,24.171,21.62,3.276,10.229,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,11,57.026,26.288,21.62,-5.198,11.557,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,12,57.026,28.516,21.62,3.625,11.582,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,13,57.026,31.611,30.316,3.334,12.541,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,14,65.762,33.706,38.963,3.391,15.03,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,15,65.766,36.322,39.216,3.479,13.8,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,16,65.779,37.525,39.216,3.084,14.882,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,17,65.779,41.959,39.244,3.487,13.166,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,18,65.779,44.156,39.27,3.487,11.713,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,19,65.779,44.564,39.247,3.487,12.493,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,20,65.779,45.99,48.036,12.487,12.641,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,21,65.787,44.464,43.718,3.471,13.98,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,22,65.789,45.562,48.022,3.479,15.343,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,23,65.789,47.364,39.267,21.588,13.016,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,24,65.789,44.428,39.247,3.402,13.548,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,25,65.843,46.258,39.267,12.611,13.364,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,26,65.843,48.781,48.034,12.611,13.485,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,27,65.843,48.78,48.04,3.487,14.882,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,28,65.843,51.492,56.894,3.459,14.651,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,29,65.845,53.999,57.019,12.519,13.73,0.5,0.5,0.35,5,-
28/09/2024 09:46:47,4,30,65.845,55.307,61.387,21.54,12.621,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,30,30.42,-0.871,-5.371,-7.248,9.326,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,1,39.009,12.762,21.405,-6.48,12.117,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,2,65.171,19.684,21.405,-4.99,8.82,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,3,65.171,22.309,21.481,2.936,7.663,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,4,65.171,23.149,21.62,-5.371,8.466,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,5,88.173,24.255,21.499,3.142,10.726,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,6,88.173,23.407,21.436,-5.412,12.146,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,7,88.173,25.391,21.405,3.487,13.67,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,8,88.173,26.966,21.62,3.95,14.639,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,9,88.173,25.635,21.62,3.159,15.999,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,10,88.173,26.879,21.542,2.854,17.724,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,11,88.173,26.926,21.487,3.491,16.986,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,12,88.173,26.668,21.43,2.735,18.283,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,13,88.173,27.934,21.571,3.131,18.956,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,14,88.173,29.837,21.481,-6.096,20.446,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,15,88.173,32.103,21.62,2.867,21.735,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,16,88.173,31.229,21.62,-5.412,21.66,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,17,89.344,33.501,21.62,2.658,24.001,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,18,89.344,33.672,21.62,2.814,25.431,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,19,89.344,39.076,29.322,2.528,27.692,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,20,89.344,44.69,30.075,2.934,30.386,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,21,89.344,50.813,43.379,2.779,31.234,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,22,89.344,58.721,69.752,2.779,29.903,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,23,89.344,63.089,78.855,3.244,26.904,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,24,89.344,68.611,85.646,2.989,26.48,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,25,89.344,75.716,87.021,11.696,23.066,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,26,89.344,78.193,87.492,11.845,21.043,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,27,89.344,80.379,87.544,11.742,18.728,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,28,89.344,78.683,87.662,11.779,20.845,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,29,89.569,75.305,87.633,2.808,24.15,0.5,0.5,0.35,5,-
28/09/2024 09:47:25,4,30,89.569,76.394,87.671,-5.73,24.931,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,30,21.83,0.51,-5.004,-7.248,9.686,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,1,38.758,9.556,4.041,-6.23,10.914,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,2,38.758,16.622,21.575,2.701,8.903,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,3,38.758,20.941,21.62,-5.371,6.551,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,4,65.864,22.542,21.62,3.222,7.611,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,5,65.864,23.592,21.62,12.222,6.966,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,6,65.864,22.976,21.62,3.487,7.744,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,7,65.864,23.08,21.62,3.62,8.534,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,8,65.864,23.666,21.62,3.62,8.035,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,9,65.864,23.79,21.62,3.62,8.593,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,10,65.864,24.201,21.62,12.111,8.69,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,11,65.864,23.169,21.62,3.629,10.237,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,12,65.864,24.246,21.62,3.432,11.689,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,13,65.864,24.95,21.62,3.244,12.163,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,14,65.864,25.762,21.709,3.432,13.186,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,15,65.864,26.772,21.707,-5.371,14.103,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,16,65.864,27.623,21.727,3.467,13.899,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,17,65.864,28.122,21.766,2.777,16.04,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,18,65.904,30.632,30.415,3.391,16.61,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,19,65.904,36.81,38.802,3.471,18.594,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,20,65.904,40.138,47.677,3.471,17.482,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,21,65.904,41.997,47.794,3.131,17.803,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,22,65.904,45.599,48.178,3.369,16.257,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,23,65.904,46.584,56.657,3.1,15.638,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,24,65.904,45.591,48.178,-5.421,17.357,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,25,65.904,51.743,56.697,21.119,10.17,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,26,65.904,50.629,56.699,3.944,12.731,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,27,65.904,50.518,56.699,2.972,12.776,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,28,65.904,50.85,56.699,3.369,12.193,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,29,86.919,49.478,56.699,-5.844,15.306,0.5,0.5,0.35,5,-
28/09/2024 09:48:19,4,30,86.919,49.899,56.699,3.369,14.883,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,30,30.499,-1.107,-5.371,-7.3,9.088,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,1,30.499,9.21,3.95,-6.242,11.067,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,2,30.499,16.936,21.467,-5.371,8.257,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,3,47.909,20.095,21.507,-5.004,7.532,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,4,47.909,21.684,21.62,3.168,6.416,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,5,74.18,23.871,21.62,3.358,10.17,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,6,74.18,24.711,21.62,3.515,10.503,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,7,74.18,24.901,21.62,3.727,10.696,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,8,83.94,26.292,21.62,3.402,13.304,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,9,84.472,26.794,21.62,2.542,16.24,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,10,84.472,27.202,21.62,3.376,16.004,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,11,87.68,27.894,21.62,3.532,17.418,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,12,87.68,26.77,21.62,3.047,16.689,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,13,87.68,28.509,21.613,3.532,18.642,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,14,87.68,30.735,21.62,-5.371,20.573,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,15,87.68,31.471,21.62,11.816,19.046,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,16,87.68,33.893,21.62,11.816,22.408,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,17,87.68,32.407,21.62,11.799,21.739,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,18,87.68,33.916,21.62,2.816,24.158,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,19,87.68,38.588,29.84,3.07,27.121,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,20,87.68,40.543,29.936,2.989,27.629,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,21,87.68,42.099,29.822,3.667,27.608,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,22,89.996,51.476,47.446,11.816,27.801,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,23,89.996,52.301,60.781,2.977,29.288,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,24,89.996,60.845,74.079,2.989,26.382,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,25,89.996,65.947,74.082,11.816,23.259,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,26,89.996,62.822,74.083,2.818,27.182,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,27,89.996,65.805,74.169,2.989,25.607,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,28,89.996,64.454,74.169,3.189,26.245,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,29,89.996,66.302,83.165,3.128,25.827,0.5,0.5,0.35,5,-
28/09/2024 09:48:57,4,30,89.996,69.089,83.728,11.816,23.768,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,30,39.296,-1.881,-5.371,-7.248,8.587,0.5,0.5,0.35,5,-
