run,enemy,generation,fitness,mean.fitness,std.fitness
25/09/2024 13:16:23,1,11,94.802,50.578,15.64
25/09/2024 13:16:23,1,12,94.802,47.279,14.68
25/09/2024 13:16:23,1,13,94.802,48.478,14.32
25/09/2024 13:16:23,1,14,94.802,48.785,14.945
25/09/2024 13:16:23,1,15,94.802,47.528,17.28
25/09/2024 13:16:23,1,16,94.802,48.079,14.696
25/09/2024 13:16:23,1,17,94.802,48.073,14.699
25/09/2024 13:16:23,1,18,94.802,48.073,14.699
25/09/2024 13:16:23,1,19,75.014,49.224,17.027
25/09/2024 13:16:23,1,20,94.9,55.407,19.315
25/09/2024 13:16:29,1,0,75.27,-0.097,16.986
25/09/2024 13:16:29,1,1,75.27,5.64,19.676
25/09/2024 13:16:29,1,2,75.27,16.405,21.092
25/09/2024 13:16:29,1,3,75.27,29.282,16.262
25/09/2024 13:16:29,1,4,94.785,34.999,15.856
25/09/2024 13:16:29,1,5,94.785,34.386,17.329
25/09/2024 13:16:29,1,6,94.785,38.267,13.198
25/09/2024 13:16:29,1,7,94.785,40.645,12.316
25/09/2024 13:16:29,1,8,94.785,40.651,11.406
25/09/2024 13:16:29,1,9,94.785,40.654,11.411
25/09/2024 13:16:29,1,10,48.07,37.636,6.953
25/09/2024 13:16:29,1,11,94.853,39.791,12.497
25/09/2024 13:16:29,1,12,48.014,38.52,5.115
25/09/2024 13:16:29,1,13,57.07,39.708,6.498
25/09/2024 13:16:29,1,14,48.07,38.202,6.242
25/09/2024 13:16:29,1,15,48.07,36.705,7.251
25/09/2024 13:16:29,1,16,48.07,37.31,7.773
25/09/2024 13:16:29,1,17,48.014,39.375,4.298
25/09/2024 13:16:29,1,18,48.014,38.76,3.626
25/09/2024 13:16:29,1,19,57.07,38.163,6.659
25/09/2024 13:16:29,1,20,39.18,36.96,6.377
25/09/2024 13:16:35,1,0,21.254,-4.961,4.872
25/09/2024 13:16:35,1,1,30.062,-1.873,9.467
25/09/2024 13:16:35,1,2,39.18,7.444,16.641
25/09/2024 13:16:35,1,3,57.014,18.497,18.929
25/09/2024 13:16:35,1,4,57.014,30.417,13.769
25/09/2024 13:16:35,1,5,57.014,35.484,9.697
25/09/2024 13:16:35,1,6,48.014,34.61,7.886
25/09/2024 13:16:35,1,7,48.014,36.397,6.957
25/09/2024 13:16:35,1,8,48.014,37.587,7.303
25/09/2024 13:16:35,1,9,48.014,40.548,5.2
25/09/2024 13:16:35,1,10,48.014,40.245,3.047
25/09/2024 13:16:35,1,11,48.014,40.253,3.045
25/09/2024 13:16:35,1,12,48.065,41.44,3.971
25/09/2024 13:16:35,1,13,48.065,40.843,5.853
25/09/2024 13:16:35,1,14,48.044,39.955,9.061
25/09/2024 13:16:35,1,15,48.014,40.255,6.861
25/09/2024 13:16:35,1,16,48.014,39.964,5.333
25/09/2024 13:16:35,1,17,48.014,40.254,3.822
25/09/2024 13:16:35,1,18,48.024,40.253,5.524
25/09/2024 13:16:35,1,19,48.014,40.843,5.839
25/09/2024 13:16:35,1,20,48.014,40.536,5.694
25/09/2024 13:16:41,1,0,39.019,-3.091,9.319
25/09/2024 13:16:41,1,1,39.019,-2.677,9.351
25/09/2024 13:16:41,1,2,39.081,1.604,13.91
25/09/2024 13:16:41,1,3,48.014,12.439,19.287
25/09/2024 13:16:41,1,4,56.977,30.717,14.389
25/09/2024 13:16:41,1,5,56.977,33.101,13.893
25/09/2024 13:16:41,1,6,66.148,37.539,10.116
25/09/2024 13:16:41,1,7,66.148,38.483,11.686
25/09/2024 13:16:41,1,8,66.148,39.657,8.331
25/09/2024 13:16:41,1,9,66.148,40.537,7.369
25/09/2024 13:16:41,1,10,66.148,40.239,5.072
25/09/2024 13:16:41,1,11,66.148,39.343,5.91
25/09/2024 13:16:41,1,12,66.148,39.622,8.335
25/09/2024 13:16:41,1,13,66.148,38.141,12.535
25/09/2024 13:16:41,1,14,75.27,40.558,9.876
25/09/2024 13:16:41,1,15,75.27,40.57,9.874
25/09/2024 13:16:41,1,16,94.791,42.698,13.093
25/09/2024 13:16:41,1,17,94.785,40.919,14.215
25/09/2024 13:16:41,1,18,94.785,43.01,13.502
25/09/2024 13:16:41,1,19,94.785,45.707,12.955
25/09/2024 13:16:41,1,20,94.785,44.491,13.49
25/09/2024 13:16:47,1,0,-5.697,-5.832,0.172
25/09/2024 13:16:47,1,1,3.222,-5.463,1.625
25/09/2024 13:16:47,1,2,38.456,-2.747,9.243
25/09/2024 13:16:47,1,3,38.456,0.577,11.467
25/09/2024 13:16:47,1,4,48.034,8.644,16.605
25/09/2024 13:16:47,1,5,75.07,31.999,18.352
25/09/2024 13:16:47,1,6,75.07,35.854,17.252
25/09/2024 13:16:47,1,7,75.07,43.005,12.126
25/09/2024 13:16:47,1,8,75.07,43.986,11.131
25/09/2024 13:16:47,1,9,75.07,44.986,13.151
25/09/2024 13:16:47,1,10,75.014,45.813,9.293
25/09/2024 13:16:47,1,11,75.014,45.871,8.926
25/09/2024 13:16:47,1,12,75.014,44.951,9.425
25/09/2024 13:16:47,1,13,66.014,43.426,8.928
25/09/2024 13:16:47,1,14,66.014,44.945,10.956
25/09/2024 13:16:47,1,15,66.014,42.872,11.016
25/09/2024 13:16:47,1,16,66.014,45.284,8.464
25/09/2024 13:16:47,1,17,75.014,44.974,9.423
25/09/2024 13:16:47,1,18,75.014,43.472,8.634
25/09/2024 13:16:47,1,19,75.014,42.59,7.575
25/09/2024 13:16:47,1,20,75.014,44.079,7.931
25/09/2024 13:16:53,1,0,48.014,1.755,15.875
25/09/2024 13:16:53,1,1,48.014,13.535,20.765
25/09/2024 13:16:53,1,2,48.235,30.739,15.409
25/09/2024 13:16:53,1,3,66.014,36.941,10.785
25/09/2024 13:16:53,1,4,48.235,39.323,2.851
25/09/2024 13:16:53,1,5,48.235,39.331,2.838
25/09/2024 13:16:53,1,6,48.014,39.009,2.307
25/09/2024 13:16:53,1,7,48.014,39.603,2.177
25/09/2024 13:16:53,1,8,48.27,39.009,5.684
25/09/2024 13:16:53,1,9,57.171,39.318,6.377
25/09/2024 13:16:53,1,10,57.014,40.219,3.843
25/09/2024 13:16:53,1,11,57.014,39.918,3.561
25/09/2024 13:16:53,1,12,57.014,40.218,3.841
25/09/2024 13:16:53,1,13,48.014,39.618,2.244
25/09/2024 13:16:53,1,14,57.019,39.933,3.558
25/09/2024 13:16:53,1,15,57.18,39.643,6.101
25/09/2024 13:16:53,1,16,57.019,40.2,3.848
25/09/2024 13:16:53,1,17,66.122,41.703,6.654
25/09/2024 13:16:53,1,18,66.122,41.731,6.226
25/09/2024 13:16:53,1,19,66.122,43.826,7.977
25/09/2024 13:16:53,1,20,75.122,44.13,9.517
25/09/2024 13:18:27,3,0,56.742,-1.555,12.296
25/09/2024 13:18:27,3,1,75.174,13.213,25.316
25/09/2024 13:18:27,3,2,75.174,31.052,23.056
25/09/2024 13:18:27,3,3,75.174,43.924,19.469
25/09/2024 13:18:27,3,4,90.929,48.204,18.58
25/09/2024 13:18:27,3,5,90.929,57.293,7.022
25/09/2024 13:18:27,3,6,90.929,57.59,7.553
25/09/2024 13:18:27,3,7,90.929,56.13,12.404
25/09/2024 13:18:27,3,8,90.929,54.959,11.135
25/09/2024 13:18:27,3,9,90.929,56.425,8.821
25/09/2024 13:18:27,3,10,90.929,54.655,11.432
25/09/2024 13:18:27,3,11,90.929,56.711,8.687
25/09/2024 13:18:27,3,12,90.929,55.201,11.181
25/09/2024 13:18:27,3,13,90.929,54.924,9.676
25/09/2024 13:18:27,3,14,90.929,55.515,9.787
25/09/2024 13:18:27,3,15,90.929,54.305,12.07
25/09/2024 13:18:27,3,16,90.929,58.487,6.836
25/09/2024 13:18:27,3,17,74.756,53.178,11.674
25/09/2024 13:18:27,3,18,86.591,57.154,8.812
25/09/2024 13:18:27,3,19,86.591,55.684,10.172
25/09/2024 13:18:27,3,20,56.742,56.742,0.0
25/09/2024 13:18:38,3,0,56.756,3.903,17.832
25/09/2024 13:18:38,3,1,56.756,10.172,19.566
25/09/2024 13:18:38,3,2,85.991,26.545,24.044
25/09/2024 13:18:38,3,3,85.991,39.271,24.258
25/09/2024 13:18:38,3,4,87.014,56.719,18.424
25/09/2024 13:18:38,3,5,87.014,54.492,24.828
25/09/2024 13:18:38,3,6,87.014,64.788,19.207
25/09/2024 13:18:38,3,7,87.014,68.466,15.85
25/09/2024 13:18:38,3,8,87.014,64.986,23.222
25/09/2024 13:18:38,3,9,87.014,64.848,22.057
25/09/2024 13:18:38,3,10,86.391,70.704,16.414
25/09/2024 13:18:38,3,11,86.391,65.778,18.003
25/09/2024 13:18:38,3,12,86.391,67.975,14.051
25/09/2024 13:18:38,3,13,87.014,68.42,14.403
25/09/2024 13:18:38,3,14,89.012,70.702,16.14
25/09/2024 13:18:38,3,15,89.012,72.622,14.313
25/09/2024 13:18:38,3,16,89.012,72.853,13.853
25/09/2024 13:18:38,3,17,89.012,74.281,14.528
25/09/2024 13:18:38,3,18,89.012,68.427,17.268
25/09/2024 13:18:38,3,19,89.012,71.277,14.144
25/09/2024 13:18:38,3,20,89.012,73.178,12.826
25/09/2024 13:18:47,3,0,56.742,0.856,14.428
